### QUERY: oneko (total=256)
adryd325/oneko.js | 1320 | JavaScript | MIT | Cat follow mouse real! A script I wrote to put a cat on my site.
glreno/oneko | 261 | Java | Unlicense | The ever popular kitty-that-follows-your-mouse-pointer
kyrie25/spicetify-oneko | 171 | JavaScript | MIT | cat follow mouse (real). A fork of oneko.js modified for Spicetify
tie/oneko | 149 | C | NO-LICENSE | (unofficial) oneko-sakura sources Git mirror
mdonoughe/neko-mac | 142 | Objective-C | Unlicense | Oneko in Cocoa (Neko for Mac OS X)
IreneKnapp/oneko | 34 | C | NO-LICENSE | An update of the classic digital kitten.
hikari-no-yume/oneko-uxn | 30 | C | NO-LICENSE | oneko-uxn  -  uxn 猫. port of oneko-sakura to uxn using chibicc-uxn
pixelomer/Oneko-iOS | 19 | Objective-C | NO-LICENSE | Port of Oneko for iOS
### QUERY: desktop+pet+electron (total=409)
NanmiCoder/cc-haha | 14685 | TypeScript | MIT | Local-first cross-platform desktop workspace for Claude Code / agents: multi-agent, Git worktrees, code diffs, skill marketplace, multi-model, Computer Use, task-aware desktop pets, with WeChat, Feishu, DingTalk, Telegram, WhatsApp and H5 access.
rullerzhou-afk/clawd-on-desk | 6276 | JavaScript | AGPL-3.0 | A pixel desktop pet that watches Claude Code, Codex, Cursor & other AI coding agents — so you don't have to.
OpenPetsHQ/openpets | 1226 | TypeScript | MIT | Local first, desktop companion platform with animated pets, plugin SDK and coding-agent integrations.
YashjitPal/BetterGravity | 210 | JavaScript | NOASSERTION | The extensible power-user platform for Google Antigravity. Adds a native In-App Browser, animated Desktop Pets, revamped Gemini UI, and custom BYOK Gemini Pro keys.
kk43994/kkclaw | 174 | JavaScript | NOASSERTION | 🦞 一个可爱的桌面龙虾AI助手 - Desktop lobster pet with OpenClaw AI, Edge TTS voice, and emotion animations
JianguSheng/yuns-desktop-pet | 140 | JavaScript | MIT | 🐕 AI桌面宠物助手 - 多模型对话 + MCP工具调用 + 视觉分析 | Electron
kirbystudy/chatgpt-desktopPet | 90 | JavaScript | BSD-2-Clause | 基于Electron开发 Live2D模型的桌面宠物
Renakoni/chara-desk | 50 | TypeScript | MIT | Claude Code 的桌宠与本地工作台 · A desktop pet & local workbench for Claude Code — 实时动画、权限卡片、Token 看板，兼容 codex-pet / cc-switch ⚓
### QUERY: desktop+pet+tauri (total=207)
DonkeyKing01/BriefyPet | 46 | Rust | MIT | An AI-powered desktop reading companion that filters RSS sources, summarizes content with LLMs, and reminds you of high-value information.
ryannli/tiny-roommate | 43 | JavaScript | NO-LICENSE | A tiny AI pet that lives on your desktop. Every AI wants to make you productive — this one just purrs.
ChanceYu/CoPet | 31 | Rust | MIT | 🐾 A desktop pet that reacts in real time to your AI agents — Claude Code, Codex, Antigravity, OpenCode, Cursor, Copilot, Gemini.
